NUTS_ID,year,week,population_density,population,temp_era5_q05,temp_era5_q50,temp_era5_q95,mortality_rate,temp_rcp45,temp_rcp85,pm10,O3,NOx,mortality_F_T,mortality_M_T,mortality,mortality_F_20,mortality_M_20,mortality_T_20,mortality_F_40,mortality_M_40,mortality_T_40,mortality_F_60,mortality_M_60,mortality_T_60,mortality_F_80,mortality_M_80,mortality_T_80,mortality_F_00,mortality_M_00,mortality_T_00
AD,1990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1990,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,1991,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
